Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 4.4E-08 0.05 0 0.000499651 0.05 0 4.65579E-11 0 -4.65579E-11 2.55994E-17
25 4.4E-08 0.1 0 0.000508005 0.1 0 3.96716E-10 0 -3.96716E-10 2.03906E-16
25 4.4E-08 0.15 0 0.000243818 0.15 0 2.89852E-09 0 -2.89852E-09 1.45057E-15
25 4.4E-08 0.2 0 0.000700084 0.2 0 1.85578E-08 0 -1.85578E-08 1.0172E-14
25 4.4E-08 0.25 0 0.00198917 0.25 0 1.02623E-07 0 -1.02624E-07 7.12418E-14
25 4.4E-08 0.3 0 0.00417714 0.3 0 4.79911E-07 0 -4.79912E-07 4.99275E-13
25 4.4E-08 0.35 0 0.00734684 0.35 0 1.71323E-06 0 -1.71323E-06 3.50071E-12
25 4.4E-08 0.4 0 0.00493327 0.4 0 4.65572E-06 0 -4.65575E-06 2.45366E-11
25 4.4E-08 0.45 0 0.00415719 0.45 0 9.09718E-06 0 -9.09735E-06 1.71882E-10
25 4.4E-08 0.5 0 0.00392082 0.5 0 1.45447E-05 0 -1.45459E-05 1.20363E-09
25 4.4E-08 0.55 0 0.00369366 0.55 0 2.06264E-05 0 -2.06349E-05 8.42767E-09
25 4.4E-08 0.6 0 0.00358586 0.6 0 2.71048E-05 0 -2.71638E-05 5.90069E-08
25 4.4E-08 0.65 0 0.00387545 0.65 0 3.38225E-05 0 -3.42356E-05 4.13097E-07
25 4.4E-08 0.7 0 0.00477134 0.7 0 4.06558E-05 0 -4.35458E-05 2.89E-06
25 4.4E-08 0.75 0 0.0067703 0.75 0 4.74289E-05 0 -6.75495E-05 2.01205E-05
25 4.4E-08 0.8 0 0.0115638 0.8 0 5.37461E-05 0 -0.000189379 0.000135632
