Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 1.76E-07 0.05 0 0.000973707 0.05 0 2.24891E-10 0 -2.24891E-10 9.15927E-17
25 1.76E-07 0.1 0 0.000989885 0.1 0 1.91926E-09 0 -1.91926E-09 7.24789E-16
25 1.76E-07 0.15 0 0.000475574 0.15 0 1.41262E-08 0 -1.41262E-08 5.14914E-15
25 1.76E-07 0.2 0 0.00123903 0.2 0 8.98206E-08 0 -8.98207E-08 3.60952E-14
25 1.76E-07 0.25 0 0.00320404 0.25 0 4.89321E-07 0 -4.89322E-07 2.52813E-13
25 1.76E-07 0.3 0 0.00534087 0.3 0 2.28937E-06 0 -2.28937E-06 1.77228E-12
25 1.76E-07 0.35 0 0.00597854 0.35 0 8.46871E-06 0 -8.46872E-06 1.24316E-11
25 1.76E-07 0.4 0 0.00490379 0.4 0 2.23239E-05 0 -2.2324E-05 8.71714E-11
25 1.76E-07 0.45 0 0.00411614 0.45 0 4.31882E-05 0 -4.31889E-05 6.10754E-10
25 1.76E-07 0.5 0 0.00389253 0.5 0 6.84552E-05 0 -6.84595E-05 4.27713E-09
25 1.76E-07 0.55 0 0.00368571 0.55 0 9.6379E-05 0 -9.64089E-05 2.9948E-08
25 1.76E-07 0.6 0 0.00359069 0.6 0 0.000125884 0 -0.000126093 2.09675E-07
25 1.76E-07 0.65 0 0.00387925 0.65 0 0.000156272 0 -0.000157739 1.46746E-06
25 1.76E-07 0.7 0 0.00478531 0.7 0 0.000186983 0 -0.000197228 1.02451E-05
25 1.76E-07 0.75 0 0.00685874 0.75 0 0.000217198 0 -0.000287529 7.03305E-05
25 1.76E-07 0.8 0 0.0120478 0.8 0 0.000245026 0 -0.000681642 0.000436616
