Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 8.8E-08 0.05 0 0.05 0 0 2.79213E-14 -5.59018E-14 2.79213E-14 5.42499E-17
25 8.8E-08 0.1 0 0.1 0 0 2.80014E-14 -5.61426E-14 2.80014E-14 1.2897E-16
25 8.8E-08 0.15 0 0.15 0 0 9.11805E-15 -1.8474E-14 9.11805E-15 2.29067E-16
25 8.8E-08 0.2 0 0.2 0 0 3.53502E-14 -7.10468E-14 3.53502E-14 3.605E-16
25 8.8E-08 0.25 0 0.25 0 0 1.08084E-13 -2.16678E-13 1.08084E-13 5.31108E-16
25 8.8E-08 0.3 0 0.3 0 0 2.22703E-13 -4.462E-13 2.22703E-13 7.53678E-16
25 8.8E-08 0.35 0 0.35 0 0 3.89951E-13 -7.80894E-13 3.89951E-13 1.0567E-15
25 8.8E-08 0.4 0 0.4 0 0 6.24949E-13 -1.25144E-12 6.24949E-13 1.51679E-15
25 8.8E-08 0.45 0 0.45 0 0 9.60973E-13 -1.92429E-12 9.60973E-13 2.34318E-15
25 8.8E-08 0.5 0 0.5 0 0 1.51494E-12 -3.03393E-12 1.51494E-12 4.08801E-15
25 8.8E-08 0.55 0 0.55 0 0 2.50165E-12 -5.01145E-12 2.50165E-12 8.18987E-15
25 8.8E-08 0.6 0 0.6 0 0 3.98028E-12 -7.97887E-12 3.98028E-12 1.83901E-14
25 8.8E-08 0.65 0 0.65 0 0 5.96578E-12 -1.19759E-11 5.96578E-12 4.43246E-14
25 8.8E-08 0.7 0 0.7 0 0 8.54376E-12 -1.71979E-11 8.54376E-12 1.10458E-13
25 8.8E-08 0.75 0 0.75 0 0 1.18346E-11 -2.39474E-11 1.18346E-11 2.78164E-13
25 8.8E-08 0.8 0 0.8 0 0 1.59815E-11 -3.26631E-11 1.59815E-11 7.00015E-13
