Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 4.4E-08 0.05 0 0.05 0 0 1.21708E-14 -2.43912E-14 1.21708E-14 2.36474E-17
25 4.4E-08 0.1 0 0.1 0 0 1.22057E-14 -2.44884E-14 1.22057E-14 5.62177E-17
25 4.4E-08 0.15 0 0.15 0 0 3.97453E-15 -8.04111E-15 3.97453E-15 9.98497E-17
25 4.4E-08 0.2 0 0.2 0 0 1.5409E-14 -3.09562E-14 1.5409E-14 1.57141E-16
25 4.4E-08 0.25 0 0.25 0 0 4.71134E-14 -9.45314E-14 4.71134E-14 2.31509E-16
25 4.4E-08 0.3 0 0.3 0 0 9.70758E-14 -1.94332E-13 9.70758E-14 3.28527E-16
25 4.4E-08 0.35 0 0.35 0 0 1.69979E-13 -3.40446E-13 1.69979E-13 4.60613E-16
25 4.4E-08 0.4 0 0.4 0 0 2.72414E-13 -5.45468E-13 2.72414E-13 6.61164E-16
25 4.4E-08 0.45 0 0.45 0 0 4.18886E-13 -8.38821E-13 4.18886E-13 1.02139E-15
25 4.4E-08 0.5 0 0.5 0 0 6.60358E-13 -1.32223E-12 6.60358E-13 1.78195E-15
25 4.4E-08 0.55 0 0.55 0 0 1.09046E-12 -2.18436E-12 1.09046E-12 3.56994E-15
25 4.4E-08 0.6 0 0.6 0 0 1.73499E-12 -3.47813E-12 1.73499E-12 8.01622E-15
25 4.4E-08 0.65 0 0.65 0 0 2.60047E-12 -5.22013E-12 2.60047E-12 1.9321E-14
25 4.4E-08 0.7 0 0.7 0 0 3.7242E-12 -7.49648E-12 3.7242E-12 4.81486E-14
25 4.4E-08 0.75 0 0.75 0 0 5.15866E-12 -1.04385E-11 5.15866E-12 1.21251E-13
25 4.4E-08 0.8 0 0.8 0 0 6.96629E-12 -1.42375E-11 6.96629E-12 3.05135E-13
