Temp M1[W] V(gate) I(Vd) I(Vg) I(Vs) I(Vb)
25 22 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "4.35927E-47 5.62141E-19 2.15628E-18 5.72902E-18 1.28958E-17 2.63532E-17 5.05236E-17 9.25585E-17 1.63887E-16" "7.19637E-47 -1.98074E-17 -3.96148E-17 6.35855E-17 -7.92296E-17 -4.92031E-16 -2.38092E-15 -1.73528E-13 -9.6445E-12" "4.36352E-47 5.62141E-19 2.15628E-18 5.72902E-18 1.28958E-17 2.63532E-17 5.05236E-17 9.25585E-17 1.63887E-16" "-1.59192E-46 5.45158E-18 7.42453E-18 7.42181E-18 7.17801E-18 5.33971E-17 2.92437E-15 1.73865E-13 9.64404E-12"
25 44 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "1.06338E-46 1.59273E-18 6.10947E-18 1.62322E-17 3.65382E-17 7.46674E-17 1.4315E-16 2.62249E-16 4.64346E-16" "3.13857E-46 -9.90369E-18 -1.98074E-17 -9.12149E-17 -3.96148E-17 -2.46015E-16 -8.57092E-15 -4.92689E-13 -2.7326E-11" "1.06266E-46 1.59273E-18 6.10947E-18 1.62322E-17 3.65382E-17 7.46674E-17 1.4315E-16 2.62249E-16 4.64346E-16" "-5.26461E-46 1.54462E-17 2.10362E-17 2.10285E-17 2.03377E-17 1.51292E-16 8.28571E-15 4.92617E-13 2.73248E-11"
25 66 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "1.48921E-47 2.62333E-18 1.00627E-17 2.67354E-17 6.01806E-17 1.22982E-16 2.35777E-16 4.3194E-16 7.64805E-16" "5.22666E-47 -6.99567E-17 -5.79082E-17 -9.41166E-17 -1.97822E-16 -4.92031E-16 -1.40711E-14 -8.12111E-13 -4.50074E-11" "1.44219E-47 2.62333E-18 1.00627E-17 2.67354E-17 6.01806E-17 1.22982E-16 2.35777E-16 4.3194E-16 7.64805E-16" "-8.15805E-47 2.54407E-17 3.46478E-17 3.46351E-17 3.34974E-17 2.49186E-16 1.36471E-14 8.11369E-13 4.50055E-11"
25 88 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "-3.96038E-46 3.65392E-18 1.40158E-17 3.72386E-17 8.38229E-17 1.71296E-16 3.28404E-16 6.0163E-16 1.06526E-15" "-1.54356E-45 -5.10797E-17 -1.02159E-16 -1.68615E-16 -2.04319E-16 -6.76542E-16 -1.96614E-14 -1.13126E-12 -6.26886E-11" "-3.95875E-46 3.65392E-18 1.40158E-17 3.72386E-17 8.38229E-17 1.71296E-16 3.28404E-16 6.0163E-16 1.06526E-15" "2.33547E-45 3.54353E-17 4.82595E-17 4.82418E-17 4.66571E-17 3.47081E-16 1.90084E-14 1.13012E-12 6.26863E-11"
25 110 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "1.49139E-45 4.68451E-18 1.7969E-17 4.77418E-17 1.07465E-16 2.1961E-16 4.2103E-16 7.71321E-16 1.36572E-15" "6.14801E-45 -6.49102E-17 -1.05219E-16 -1.7486E-16 -2.59641E-16 -8.36452E-16 -2.52339E-14 -1.45048E-12 -8.03697E-11" "1.49084E-45 4.68451E-18 1.7969E-17 4.77418E-17 1.07465E-16 2.1961E-16 4.2103E-16 7.71321E-16 1.36572E-15" "-9.13024E-45 4.54299E-17 6.18711E-17 6.18484E-17 5.98167E-17 4.44975E-16 2.43697E-14 1.44887E-12 8.0367E-11"
25 132 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "1.26456E-45 5.7151E-18 2.19222E-17 5.8245E-17 1.31108E-16 2.67924E-16 5.13657E-16 9.41012E-16 1.66618E-15" "5.40995E-45 -6.57302E-17 -1.3146E-16 -2.11069E-16 -3.85929E-16 -1.10707E-15 -3.0735E-14 -1.76947E-12 -9.80511E-11" "1.26271E-45 5.7151E-18 2.19222E-17 5.8245E-17 1.31108E-16 2.67924E-16 5.13657E-16 9.41012E-16 1.66618E-15" "-7.93721E-45 5.54244E-17 7.54828E-17 7.54551E-17 7.29764E-17 5.4287E-16 2.97311E-14 1.76763E-12 9.80478E-11"
25 154 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "5.28644E-46 6.74569E-18 2.58754E-17 6.87482E-17 1.5475E-16 3.16238E-16 6.06284E-16 1.1107E-15 1.96664E-15" "2.32945E-45 -8.38885E-17 -1.67777E-16 -2.21612E-16 -4.05844E-16 -1.26522E-15 -3.63207E-14 -2.08862E-12 -1.15732E-10" "5.28662E-46 6.74569E-18 2.58754E-17 6.87482E-17 1.5475E-16 3.16238E-16 6.06284E-16 1.1107E-15 1.96664E-15" "-3.38676E-45 6.5419E-17 8.90944E-17 8.90617E-17 8.61361E-17 6.40765E-16 3.50924E-14 2.08638E-12 1.15729E-10"
25 176 "0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8" "-9.57677E-46 7.77629E-18 2.98286E-17 7.92514E-17 1.78392E-16 3.64552E-16 6.9891E-16 1.28039E-15 2.2671E-15" "-4.30676E-45 -1.0242E-16 -1.74087E-16 -2.68819E-16 -4.71182E-16 -1.47609E-15 -4.18127E-14 -2.40767E-12 -1.33414E-10" "-9.59497E-46 7.77629E-18 2.98286E-17 7.92514E-17 1.78392E-16 3.64552E-16 6.9891E-16 1.28039E-15 2.2671E-15" "6.22394E-45 7.54136E-17 1.02706E-16 1.02668E-16 9.92958E-17 7.38659E-16 4.04538E-14 2.40513E-12 1.33409E-10"
