Temp	Width		V(gate)		I(Vd)				I(Vg)				I(Vs)					I(Vb)
 25		 176			 0.0 		-9.57677e-46		-4.30676e-45		-9.59497e-46				6.22394e-45
 25		 176			 0.1 		7.77629e-18		-1.0242e-16		7.77629e-18				7.54136e-17
 25		 176			 0.2 		2.98286e-17		-1.74087e-16		2.98286e-17				1.02706e-16
 25		 176			 0.3 		7.92514e-17		-2.68819e-16		7.92514e-17				1.02668e-16
 25		 176			 0.4 		1.78392e-16		-4.71182e-16		1.78392e-16				9.92958e-17
 25		 176			 0.5 		3.64552e-16		-1.47609e-15		3.64552e-16				7.38659e-16
 25		 176			 0.6 		6.9891e-16		-4.18127e-14		6.9891e-16				4.04538e-14
 25		 176			 0.7 		1.28039e-15		-2.40767e-12		1.28039e-15				2.40513e-12
 25		 176			 0.8 		2.2671e-15		-1.33414e-10		2.2671e-15				1.33409e-10

