Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 2.2E-08 0.05 0.0018573 0.05 0.0018573 0 -1.01258E-29 -9.90369E-18 1.01258E-29 3.64392E-18
25 2.2E-08 0.1 0.00492469 0.1 0.00492469 0 2.80076E-30 -1.98074E-17 -2.80076E-30 6.48339E-18
25 2.2E-08 0.15 0.00916107 0.15 0.00916107 0 -1.71129E-30 3.17928E-17 1.71129E-30 8.85848E-18
25 2.2E-08 0.2 0.0143865 0.2 0.0143865 0 -4.72019E-32 -3.96148E-17 4.72019E-32 1.10906E-17
25 2.2E-08 0.25 0.0203588 0.25 0.0203588 0 -9.41723E-31 0 9.41723E-31 1.34989E-17
25 2.2E-08 0.3 0.02684 0.3 0.02684 0 -3.90917E-31 3.96148E-17 3.90917E-31 1.64213E-17
25 2.2E-08 0.35 0.0336325 0.35 0.0336325 0 -1.04227E-31 7.92296E-17 1.04227E-31 2.0281E-17
25 2.2E-08 0.4 0.0405874 0.4 0.0405874 0 -1.59008E-32 1.42815E-16 1.59008E-32 2.59999E-17
25 2.2E-08 0.45 0.0476001 0.45 0.0476001 0 -1.01859E-32 -6.35855E-17 1.01859E-32 3.8141E-17
25 2.2E-08 0.5 0.0546008 0.5 0.0546008 0 1.39655E-32 -4.79414E-17 -1.39655E-32 8.92788E-17
25 2.2E-08 0.55 0.061545 0.55 0.061545 0 1.02438E-32 -9.68417E-16 -1.02438E-32 4.28702E-16
25 2.2E-08 0.6 0.0684059 0.6 0.0684059 0 -1.07817E-32 -2.87295E-15 1.07817E-32 2.97892E-15
25 2.2E-08 0.65 0.0751684 0.65 0.0751684 0 2.66603E-32 -2.24906E-14 -2.66603E-32 2.2558E-14
25 2.2E-08 0.7 0.0818257 0.7 0.0818257 0 3.50076E-32 -1.72988E-13 -3.50076E-32 1.73215E-13
25 2.2E-08 0.75 0.0883757 0.75 0.0883757 0 -3.76184E-32 -1.32423E-12 3.76184E-32 1.32396E-12
25 2.2E-08 0.8 0.0948197 0.8 0.0948197 0 4.18471E-32 -9.59815E-12 -4.18471E-32 9.59769E-12
