Temp M1[W] V-sweep V(drain) V(gate) V(source) V(body)  I(Vd) I(Vg) I(Vs) I(Vb)
25 8.8E-08 0.05 0.00346287 0.05 0.00346287 0 -5.36198E-29 -2.55399E-17 5.36198E-29 2.35759E-17
25 8.8E-08 0.1 0.00862309 0.1 0.00862309 0 1.63205E-29 -5.10797E-17 -1.63205E-29 4.17107E-17
25 8.8E-08 0.15 0.0150497 0.15 0.0150497 0 -2.59526E-29 -2.28037E-17 2.59526E-29 5.65126E-17
25 8.8E-08 0.2 0.0222823 0.2 0.0222823 0 1.38917E-29 -7.14075E-17 -1.38917E-29 6.99868E-17
25 8.8E-08 0.25 0.029951 0.25 0.029951 0 -2.86178E-30 -9.22557E-17 2.86178E-30 8.41287E-17
25 8.8E-08 0.3 0.0377992 0.3 0.0377992 0 8.22546E-31 -5.16001E-17 -8.22546E-31 1.01047E-16
25 8.8E-08 0.35 0.0456645 0.35 0.0456645 0 -7.44522E-31 -4.16964E-17 7.44522E-31 1.23377E-16
25 8.8E-08 0.4 0.0534509 0.4 0.0534509 0 -6.46887E-31 -2.10312E-16 6.46887E-31 1.56958E-16
25 8.8E-08 0.45 0.0611057 0.45 0.0611057 0 2.45173E-32 -2.61912E-16 -2.45173E-32 2.31238E-16
25 8.8E-08 0.5 0.068603 0.5 0.068603 0 -8.64359E-32 -5.6552E-16 8.64359E-32 5.5754E-16
25 8.8E-08 0.55 0.0759335 0.55 0.0759335 0 7.47818E-32 -2.70226E-15 -7.47818E-32 2.75457E-15
25 8.8E-08 0.6 0.0830972 0.6 0.0830972 0 1.06941E-31 -1.94154E-14 -1.06941E-31 1.93074E-14
25 8.8E-08 0.65 0.0900994 0.65 0.0900994 0 1.79697E-31 -1.46343E-13 -1.79697E-31 1.46446E-13
25 8.8E-08 0.7 0.0969482 0.7 0.0969482 0 2.62298E-31 -1.12485E-12 -2.62298E-31 1.12481E-12
25 8.8E-08 0.75 0.103653 0.75 0.103653 0 -3.41434E-31 -8.59766E-12 3.41434E-31 8.59765E-12
25 8.8E-08 0.8 0.110223 0.8 0.110223 0 7.63939E-32 -6.23289E-11 -7.63939E-32 6.23289E-11
